Nome,User El dorado,tiktok @,Pais,Owner,telefone
mile_noa,milenka_noa,mile_noa,bolivia,alejandra,null
mirellasthephane,mirellasthephane2,mirellasthephane,brasil,samuel,null
miry.travel,miry,miry.travel,argentina,alejandra,null
nasserohabibi,nasserdaqour,nasserohabibi,brasil,julia,null
ninomartinezok,ninomartinezok,ninomartinezok,bolivia,alejandra,null
oficialzeus,oficialzeusmc,oficialzeus,brasil,julia,null
ornellasierra,ornellasierra24,ornellasierra,colombia,camilo,null
pablodorado-fd1zj,pablidorado,pablodorado-fd1zj,bolivia,camilo,null
paluleos2,paluleos,paluleos2,bolivia,alejandra,null
paocordero,paocordero0,paocordero,bolivia,bianca,null
canalpapoprofissional,papoprofissional,canalpapoprofissional,brasil,julia,null
pedrito_daza,pedritodaza,pedrito_daza,bolivia,camilo,null
petro.off7,petronilho7,petro.off7,brasil,julia,null
quiquelanda.peru,quiquelandaperu,quiquelanda.peru,brasil,alessandro,null
rapfinanceiro,rapfinanceiro,rapfinanceiro,brasil,alessandro,null
ricardoasmatmarines,ricardoasmatm,ricardoasmatmarines,peru,camilo,null
rossy180,rossy180,rossy180,bolivia,camilo,null
rubbycobain,rubbycobain,rubbycobain,argentina,alejandra,null
santiagochavezirus,santiagochavezirus,santiagochavezirus,peru,alejandra,null
santiscali,santiscali,santiscali,argentina,alejandra,null
sedexx10,sedexx10,sedexx10,brasil,samuel,null
odemetru,siena,odemetru,brasil,alessandro,null
lachicadelasfiestas,sivivesenlima,lachicadelasfiestas,peru,alessandro,null
sophia.05__,sophic2,sophia.05__,colombia,camilo,null
soyplisha,soypilisha,soyplisha,colombia,camilo,null
lubru,TBRmfqTQiGGaHs59FTtbJeSFoQfdnjeTYz,lubru,argentina,bianca,null
malusc,tranks3000,malusc,brasil,julia,null
tthebestr,tthebestr,tthebestr,brasil,julia,null
valesita.ofi,valesitaofi,valesita.ofi,colombia,camilo,null
vmoneys,vancy09cy,vmoneys,argentina,bianca,null
vinimachadofc,vinimachadofc,vinimachadofc,brasil,alessandro,null
willzanelati,wilsonzanelati,willzanelati,brasil,julia,null
winnermaxyt,winnermax,winnermaxyt,colombia,camilo,null
wolttechnology,wolt,wolttechnology,argentina,bianca,null
xande.41,xande41,xande.41,brasil,julia,null
ximenadavila_,ximenadavila_,ximenadavila_,peru,camilo,null
yessitapia.pe,yessitapia,yessitapia.pe,argentina,alejandra,null
soy.alessandro_bo,yosoyalessandroboliv,soy.alessandro_bo,bolivia,bianca,null
zdezane,zdezane,zdezane,brasil,julia,null
